title,price,liter,fuel_type,year,transmission,city
Mercedes-Benz A 170,1650,1.7,Diesel,2001,Automatic,Siauliai
Volkswagen Golf,1650,1.6,Gasoline,1999,Automatic,Kaunas
Volvo V50,1700,2.0,Diesel,2007,Mechanical,Vilnius
Ford C-MAX I,1700,2.0,Diesel,2010,Automatic,Vilnius
Volkswagen Passat B5 FL,1700,1.9,Diesel,2005,Mechanical,Kaunas
Volkswagen Passat B6,1750,2.0,Diesel,2006,Mechanical,Vilnius
Volkswagen Golf,1750,1.9,Diesel,2001,Mechanical,Kedainiai
Volkswagen Passat,1750,1.9,Diesel,2003,Mechanical,Telsiai
Volkswagen Passat B5 FL,1750,1.9,Diesel,2004,Mechanical,Siauliai
Volkswagen Jetta,1800,2.0,Diesel,2007,Mechanical,Vilnius
Audi A4,1800,1.9,Diesel,2003,Automatic,Vilnius
Volkswagen Passat B5 FL,1800,1.9,Diesel,2002,Mechanical,Kaunas
Audi A3 8P,1800,1.9,Diesel,2004,Mechanical,Kaunas
BMW 320,1800,2.0,Diesel,2002,Mechanical,Kaunas
Volvo V70,1800,2.4,Diesel,2005,Automatic,Pakruojis
Ford Focus Mk2,1850,1.6,Diesel,2009,Mechanical,Klaipeda
Volkswagen Jetta A2,1850,1.6,Gasoline,1984,Mechanical,Sirvintos
Volvo V50,1895,2.0,Diesel,2011,Automatic,Siauliai
Hyundai Coupe,1899,2.0,Gasoline,2002,Mechanical,Telsiai
Audi A4 B6,1900,1.9,Diesel,2002,Mechanical,Vilnius
Peugeot 407,1900,2.0,Diesel,2006,Mechanical,Druskininkai
Citroen C8,1940,2.2,Diesel,2006,Mechanical,Jonava
Volvo S60,1950,2.4,Diesel,2006,Mechanical,Kaunas
Opel Vectra,1950,1.9,Diesel,2005,Mechanical,Utena
Ford Focus,1950,1.6,Diesel,2007,Mechanical,Telsiai
Citroen C4 Grand Picasso I,1980,2.0,Diesel,2008,Automatic,Taurage
Hyundai Galloper,1999,2.5,Diesel,1999,Mechanical,Kedainiai
Peugeot 308,1999,1.6,Diesel,2010,Mechanical,Kaunas
Peugeot 407,2000,2.0,Diesel,2005,Automatic,Vilnius
Kia Magentis,2000,2.0,Diesel,2006,Mechanical,Ukmerge
Opel Vectra C,2000,1.9,Diesel,2006,Mechanical,Rietavas
Citroen C4 Picasso,2000,1.6,Diesel,2008,Mechanical,Plunge
BMW 525 E60,2000,2.5,Diesel,2005,Automatic,Alytus
Toyota Yaris,2050,1.4,Diesel,2006,Mechanical,Alytus
Volkswagen Golf IV,2099,1.9,Diesel,2000,Mechanical,Vilnius
Opel Signum,2099,1.9,Diesel,2005,Mechanical,Marijampole
Opel Astra,2100,1.7,Diesel,2004,Mechanical,Kaunas
BMW 330 E46,2100,3.0,Diesel,2002,Automatic,Vilnius
Volkswagen Beetle,2100,1.9,Diesel,1998,Mechanical,Kupiskis
Mercedes-Benz E 220,2150,2.2,Diesel,2003,Automatic,Vilnius
